uniqsubs,actvsubs,new_cell,crclscod,asl_flag,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,prizm_social_one,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,rv,ownrent,lor,dwlltype,marital,adults,infobase,income,numbcars,HHstatin,dwllsize,forgntvl,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,Customer_ID
2,1,U,A,N,1652,4228,1504.62,1453.44,4085,1602,29.66,83.37,32.69,272,116,30,322,136,38,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,149.9899902,2,2,WCMB,0,0,O,15,S,S,1,M,4,3,C,A,0,N,U,U,U,U,U,Y,361,1000001
1,1,N,EA,N,14654,26400,2851.68,2833.88,26367,14624,51.53,479.4,265.89,305,158,40,477,275,48,U,CHICAGO AREA,N,N,,7,6,WC,1,1,,1,S,S,1,M,5,1,C,A,0,Z,U,U,U,U,U,Y,240,1000002
1,1,Y,C,N,7903,24385.05333,2155.91,1934.47,24303.05,7888,34.54,433.98,140.86,12,7,17,11,6,17,S,GREAT LAKES AREA,N,N,29.98999023,2,1,NA,0,0,O,7,S,M,2,M,5,2,C,A,0,N,U,Y,U,U,U,Y,1504,1000003
1,1,Y,B,N,1502,3065,2000.9,1941.81,3035,1479,40.45,63.23,30.81,8,3,38,50,25,40,T,CHICAGO AREA,N,N,29.98999023,1,1,NA,0,0,,6,M,M,4,M,6,1,C,D,0,U,Y,U,U,U,U,Y,1812,1000004
1,1,Y,A,N,4485,14028,2181.12,2166.48,13965,4452,38.69,249.38,79.5,558,191,55,586,196,80,U,NEW ENGLAND AREA,Y,N,149.9899902,6,4,WCMB,0,0,R,5,M,S,1,M,6,1,C,O,0,I,U,U,U,U,U,Y,434,1000005
2,2,Y,C,N,26812,40869,4033.98,3932.9,40295,26362,83.68,857.34,560.89,1260,960,80,1187,853,78,U,GREAT LAKES AREA,N,N,129.9899902,9,4,WCMB,0,0,O,1,,S,1,M,6,1,C,,0,U,U,U,U,U,U,Y,458,1000006
2,2,N,A,N,6279,17390.03333,3091.7,3065.24,17371.03,6271,58.95,334.06,120.6,0,0,17,0,0,17,C,DALLAS AREA,Y,N,29.98999023,4,3,NA,0,0,O,8,S,M,3,M,9,,I,A,0,N,U,U,U,U,U,Y,852,1000007
1,1,Y,B,N,4491,12492,1427.71,1423.06,12439,4470,34.71,303.39,109.02,633,96,39,719,112,58,,DALLAS AREA,Y,N,79.98999023,3,2,WCMB,0,0,R,0,S,M,2,M,1,2,C,A,1,S,U,U,U,U,U,Y,231,1000008
1,1,Y,B,N,16730,43231.05333,4404.44,4313.71,42943.05,16579,81.39,810.25,312.81,973,465,90,915,434,90,S,CHICAGO AREA,Y,N,29.98999023,3,3,NA,0,0,,3,M,M,3,M,4,1,C,E,0,F,U,U,U,U,U,N,700,1000009
2,2,N,A,N,391,994,1458.42,1457.84,976,377,26.51,17.75,6.85,6,3,30,54,7,34,C,DALLAS AREA,Y,N,79.98999023,2,2,WCMB,0,0,O,8,S,M,2,M,9,2,I,A,1,N,U,U,U,U,U,Y,601,1000010
